TBCA Oxota,OOH Oxota,Buy m.o. Oxota,Trial Oxota,Unaided Oxota,Consider T1 Oxota,OOH freq,Instore freq,Bar freq,Volume,Media coverage,WOM +ve,WOM =,Experience +ve,Experience =
1,1,0,1,0,0,0,0.8,0,10,0,0,0,1,0
1,1,1,1,1,1,11020.296,16.5,8,10,1,1,0,1,0
1,0,1,1,1,1,0,1.2,0,2.5,0,1,0,1,0
0,0,0,1,0,0,3945.7065,4.45,0,4.5,0,0,0,0,0
1,0,0,1,1,0,387.1125,4.5,0,0.5,0,0,0,0,0
1,0,0,1,1,0,629.388,4.5,3,10,0,0,0,0,0
0,0,0,0,1,0,1063.032,0,0,1.5,0,0,0,0,0
1,0,1,1,1,1,351.006,3,0,4,0,1,0,1,0
1,0,1,1,1,1,620.136,7,0,2.5,0,1,0,1,0
0,0,1,1,1,1,0,2,0,7.5,0,0,0,1,0
0,0,0,1,1,0,0,0.7,0,4,0,0,0,0,1
1,0,1,1,1,1,142.761,3.5,0,1.5,0,1,0,1,0
0,0,1,1,1,1,0,0.5,0,4.5,0,0,1,1,0
0,0,0,1,0,0,0,1,0,2.5,0,0,0,1,0
0,0,0,1,1,0,0,0.2,0,2.5,0,0,0,0,1
0,0,0,1,1,0,1812.276,4,2,10,0,0,0,0,1
1,0,0,1,1,0,977.508,1,0,8,0,0,0,1,0
1,1,1,1,1,0,1301.073,2,0,9,0,1,0,1,0
0,0,1,1,1,1,3085.405714,6.25,0,6,0,0,0,1,0
1,0,0,1,0,0,335.16,1.3,0,4.5,0,0,0,1,0
1,1,0,1,1,0,0,5.5,0,4,0,0,0,1,0
1,0,0,1,0,0,0,2,0,10,0,0,0,0,1
1,0,1,1,1,1,12.10414286,3,0,4.5,1,1,0,1,0
0,0,0,1,0,0,1666.4115,9.1,0,4.5,0,0,0,1,0
1,0,0,1,0,0,12.54192857,4,0,4,0,0,0,1,0
1,0,0,1,0,0,0,3.425,0,1.5,0,0,0,1,0
0,0,0,0,0,0,37.743,0.2,0,0.5,0,0,0,0,0
1,1,1,1,0,1,0,1.5,0,6,0,1,0,1,0
1,1,0,1,0,0,1412.208,4,8,4.5,0,0,0,0,0
0,0,1,1,1,1,28.494,3.4,0,4,0,1,0,1,0
0,0,0,1,1,0,0,0.7,0,2.5,0,0,0,0,0
1,1,0,1,1,0,0,2.4,0,0.5,0,0,0,0,1
0,0,0,1,1,1,0,1,0,2.5,0,0,0,1,0
0,0,0,1,0,0,0,1,0,4,0,0,0,0,1
0,0,0,1,1,0,68.922,1,0,4,0,0,0,1,0
0,0,0,1,1,0,60.717,0.5,0,4,0,0,0,1,0
1,1,1,1,1,1,86.196,0,0,4,0,1,0,1,0
0,0,1,1,1,1,62.358,2,0,4.5,0,0,0,1,0
1,1,0,1,1,0,155.73,1,0,2.5,0,0,1,0,1
1,1,1,1,1,1,20.628,5,0,4,0,1,0,1,0
1,0,0,1,1,0,223.506,2.25,0,1.5,0,0,0,1,0
0,0,0,1,1,0,0,1,0,4,0,0,0,1,0
1,1,1,1,1,1,439.425,3.1,0,1.5,0,0,0,1,0
0,0,0,1,1,0,0,1.2,0,4,0,0,0,0,1
0,0,0,1,1,0,316.164,4.6,0,4.5,0,0,0,1,0
1,0,1,1,1,1,91.896,4.5,0,4,0,0,0,1,0
1,0,0,1,0,0,1859.1585,18,0,2.5,0,1,0,1,0
0,0,0,1,0,0,12.798,4.6,0,4.5,0,0,0,1,0
0,0,0,1,1,0,150.834,0.7,0,2.5,0,0,0,0,1
0,0,0,1,1,0,0,3.75,0,2.5,0,0,0,1,0
0,0,0,1,0,0,337.155,0.7,0,4,0,0,0,0,0
1,0,0,1,1,0,293.1505714,3,0,1.5,0,1,0,1,0
0,0,0,1,1,0,258.876,8,4,7,0,0,0,1,0
0,0,0,1,1,1,1233.834,4,0,5,0,0,0,1,0
0,0,1,1,1,1,469.8,5,0,2.5,0,0,0,1,0
1,1,1,1,0,0,93.696,6,0,1.5,0,0,0,0,0
0,0,0,1,1,0,0,1.2,0,4,0,0,0,0,1
0,0,0,0,0,0,744.492,0.1,0,2,0,0,0,0,0
0,0,0,1,0,0,226.668,0.4,0,1.5,0,0,0,1,0
1,1,0,1,0,0,420.744,6,0,0.5,0,0,1,0,1
1,0,0,1,1,0,0,9,0,10,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1.5,0,0,0,0,0
0,0,0,1,0,0,9.488571429,1.25,0,0.5,0,0,0,0,0
0,0,0,1,0,0,77.928,4.125,0,1.5,0,0,0,0,0
1,0,1,1,1,1,3425.865,8,0,4.5,1,1,0,1,0
0,0,0,0,0,0,81.50657143,1,0,7,0,0,0,0,0
1,1,0,0,0,0,216.7714286,1,0,8,1,0,1,1,0
0,0,0,0,0,0,187.1517857,2.2,0,1.5,0,0,0,0,0
1,0,1,1,0,1,289.938,2.3,0,0.5,0,1,0,1,0
1,0,1,1,1,1,87.096,2.2,0,1.5,0,0,0,1,0
1,0,0,1,0,0,0,0.85,0,4,0,0,0,0,0
0,0,0,1,1,0,0,4.15,0,4.5,0,0,0,1,0
1,0,1,1,1,0,437.697,6,0,2.5,0,1,0,1,0
0,0,0,0,0,0,91.812,8,0,1.5,0,0,0,0,0
1,1,0,1,1,0,0,0.7,0,4,0,0,0,0,1
0,0,1,1,1,1,241.425,0.7,0,7.5,0,0,1,0,1
0,0,0,0,1,0,22.428,1.4,0,4,0,0,0,0,0
0,0,1,1,1,1,67.281,2,0,7.5,0,0,0,0,1
0,0,0,1,1,0,578.832,2,0,2.5,0,0,0,1,0
0,0,1,1,1,1,49.989,0,0,0.5,0,0,0,0,0
1,0,0,1,0,0,13.44,2.85,0,0.5,0,0,0,0,1
1,0,0,1,1,0,163.968,3,0,7.5,1,0,1,0,1
1,0,0,1,1,0,0,4,0,10,0,0,0,1,0
1,0,0,1,1,1,86.64042857,6,0,10,0,0,0,1,0
0,0,0,1,0,0,0,0.1,0,2.5,0,0,0,1,0
1,0,1,1,1,1,92.34,0.6,0,0.5,0,0,1,1,0
0,0,0,1,1,1,0,4,0,1.5,0,0,0,0,0
1,0,0,1,1,0,33.75771429,6,0,10,0,0,0,0,1
1,0,1,1,1,1,41.025,8,0,10,0,1,0,1,0
1,0,0,1,1,0,57.435,6,0,10,0,0,0,1,0
1,0,0,0,0,0,172.749,4,0,1.5,0,0,0,0,0
1,0,0,1,1,1,1189.640571,4,0,1.5,0,1,0,1,0
0,0,0,1,0,0,0,1,0,4,0,0,1,0,1
0,0,0,1,1,0,0,1.2,0,4,0,0,0,0,1
0,0,0,1,1,0,0,0.4,0,4,0,0,0,1,0
0,0,1,1,1,1,0,2,0,7.5,0,0,0,1,0
0,0,0,1,0,0,0,1,0,4,0,1,0,0,1
0,0,0,1,0,0,798.621,1.5,0,4,0,0,0,1,0
0,0,0,1,1,0,1795.662,6,0,1.5,0,0,0,0,1
1,1,0,0,1,1,0,12,0,4,0,0,1,1,0
1,0,0,1,0,0,181.89,0.1,0,0.5,0,0,0,0,0
1,0,0,1,0,0,0,0.5,0,4.5,0,0,0,1,0
0,0,0,0,0,0,1783.53,0.5,0,2.5,0,0,0,0,0
0,0,0,0,0,0,0,0.5,0,1.5,0,0,0,0,0
1,0,0,1,1,0,0,1.25,0,2.5,0,0,0,0,1
1,0,0,1,0,0,35.13857143,0.5,0,5,0,0,0,0,0
1,0,0,1,1,0,183.15,8.1,0,1.5,0,0,0,1,0
